did,diagnose,pid
"25","Alcoholism","Detox, Sedative, Vitamin and Alcoholism medication"
"26","Allergic reaction","Antihistamines, Nasal decongestants, Avoid the allergen, Anti-inflammatory medication"
"27","Allergic rhinitis:  (allergic reaction in the nose)","Nasal decongestants, Avoid the allergen"
"28","Allergy","Antihistamines, Nasal decongestants, Avoid the allergen, Anti-inflammatory medication"
"29","Confusion:  (altered mental status)","eating or drinking something sweet, drinking electrolytes, surgery"
"30","Altered mental status: confusion","eating or drinking something sweet, drinking electrolytes, surgery"
"31","Altitude illness: Illnesses due to high altitude effects","Descent to lower altitude and Oxygen therapy, Nonsteroidal anti-inflammatory drug, Diuretic, Steroid and Analgesic"
"32","Amebiasis: ameba infection","Antibiotics and Antiparasitic, Oral rehydration therapy"
"33","Amphetamine abuse","Cognitive Behavioral Therapy, Motivational Interviewing, Dialectical Behavior Therapy, Family counseling, Addiction education"
"34","Amphetamine overdose"," Management is predominantly supportive, aimed at reducing core body temperature, rehydration, sedation (if required), and cardiac monitoring. Within 1 hour of drug ingestion, activated charcoal is given orally. If intoxication is mild, the patient may be best managed by monitoring and observation in a quiet environment, with supportive measures (intravenous fluids, cooling) as needed."
"36","Anal fissure:  (tear)","Hip bath and Dietary fiber, Local anesthetic, Steroid, Dietary supplement and Laxative, Botox injection"
"37","Anaphylactoid reactions:  (pseudo allergic reaction)","Vasoconstrictor, Bronchodilator, Antihistamine and Steroid, Tracheal intubation, Cardiopulmonary resuscitation (CPR) and IV fluids"
"38","Anaphylaxis: (severe/life threatening allergic reaction)","Vasoconstrictor, Bronchodilator, Antihistamine and Steroid, Tracheal intubation, Cardiopulmonary resuscitation (CPR) and IV fluids"
"39","Anemia:  (low red blood cell count)","Dietary supplement, Blood transfusion and Vitamin"
"40","Ankle laceration:  (cut in skin)","Clean the wound followed by stiches, Nonsteroidal anti-inflammatory drug"
"41","Ankle swelling","RICE(rest, Ice, Compression, ELevation), Ibuprofen (Advil) or naproxen sodium"
"42","Ankylosing spondylitis:  (severe spine arthritis)","Stretching and Physical Therapy, Nonsteroidal anti-inflammatory drug, Immunosuppressive drug, Anti-inflammatory and Steroid"
"43","Anopheles: mosquito bite","Wash the area with soap and water. Apply an ice pack for 10 minutes to reduce swelling and itching. Reapply ice pack as needed., Anti-itch or antihistamine cream."
"44","Anorectal abscess: (perirectal) abscess","Surgical drain and Incision and drainage, Antibiotics and Penicillin"
"45","Anorexia: (eating disorder)","Support group, Cognitive behavioral therapy, Dialectical behavior therapy, Counseling psychology, Interpersonal psychotherapy, Family therapy, Behaviour therapy, Psychotherapy, Brief psychotherapy and Group psychotherapy, SSRIs and Antipsychotic."
"46","Anorexia nervosa:  (eating disorder)","Support group, Cognitive behavioral therapy, Dialectical behavior therapy, Counseling psychology, Interpersonal psychotherapy, Family therapy, Behaviour therapy, Psychotherapy, Brief psychotherapy and Group psychotherapy, SSRIs and Antipsychotic."
"47","Ant bite","Ice packs, Aloe and Menthol, Antihistamine, Nonsteroidal anti-inflammatory drug and Analgesic"
"48","Anticholinergic drug overdose","Rapidly transport the patient to the nearest emergency facility with advanced life support (ALS) capabilities, Physostigmine"
"49","Antidepressant overdose","Airway protection, Gastric decontamination, intravenous fluid, soduim bicarbonate"
"50","Anxiety","Avoid alcohol, Reduce caffeine intake, Physical exercise, Quitting smoking, Relaxation techniques, Stress management and Healthy diet, 
Cognitive behavioral therapy, Meditation and Psychotherapy, SSRIs, Anxiolytic, Antidepressant, Sedative and Nerve pain medication"
"51","Anxiety disorder: generalized anxiety disorder: GAD","Avoid alcohol, Reduce caffeine intake, Physical exercise, Quitting smoking, Relaxation techniques, Stress management and Healthy diet, Cognitive behavioral therapy, Meditation and Psychotherapy, SSRIs, Anxiolytic, Antidepressant, Sedative and Nerve pain medication"
"52","Aortic valve stenosis: tight heart valve","Diuretic, Aortic valve replacement, Balloon valvuloplasty"
"54","Aphthous ulcers: mouth stomatitis","Local anesthetic, Steroid and Anti-inflammatory"
"55","Aplastic anemia: bone marrow failure","Blood transfusion, Bone marrow stimulant and Immunosuppressive drug, Allotransplantation"
"56","Appendicitis","Appendectomy, Laparotomy and Laparoscopic surgery, Fasting from food and drink, Antibiotics and Penicillin"
"57","Arm laceration: skin cut","Clean the wound followed by stiches, Nonsteroidal anti-inflammatory drug"
"58","Arm swelling","RICE(Rest, Ice, Compression, Elevation), Ibuprofen (Advil) or naproxen sodium"
"59","Arrhythmia: abnormal heart rhythm","Antiarrhythmic, Calcium channel blocker, Beta blocker and Dietary supplement, Cardioversion and Radiofrequency ablation, Pacemaker and Implantable cardioverter defibrillator"
"60","Arteriovenous malformation: blood vessel abnormality, AVM","Monitoring for changes or improvement, Embolization and Radiation therapy"
"61","Arthritis: joint inflammation","Physical exercise, Weight loss, Yoga, Heating pad, Ice packs and Cold compress, Hip replacement, Knee replacement and Joint replacement, Nonsteroidal anti-inflammatory drug, Steroid, Analgesic, Narcotic and Immunosuppressive drug"
"62","Aseptic joint effusion: fluid in a joint: Effusion of joint","RICE(Rest, Ice, Compression, ELevation), a nonsteroidal anti-inflammatory drug (NSAID) like Advil (ibuprofen) or Aleve (naproxen)."
"63","Aseptic necrosis of bone: bone death and destruction","Quit smoking and Limit alcohol intake, Bone surgery, Bone grafting and Joint replacement, Nonsteroidal anti-inflammatory drug"
"64","Aspirin: salicylates overdose","Administering activated charcoal which adsorbs the salicylate in the gastrointestinal tract, Dextrose 5% in water (D5W), dialysis"
"65","Asthma","Bronchodilator, Steroid and Anti-inflammatory, Quitting smoking, Oxygen therapy"
"66","Atopic dermatitis: eczema","Steroid, Antihistamine and Topical antiseptic, Ultraviolet light therapy, Barrier cream, PUVA, Coal tar extract and Moisturizer"
"67","Atrial fibrillation: irregular heart rate","Cardioversion and Catheter ablation, Beta blocker, Calcium channel blocker, Antiarrhythmic and Anticoagulant, Cardiac monitoring, Cox maze procedure and Mini maze procedure"
"68","Atrioventricular node conduction block: heart block"," Atropine, but make require temporary transcutaneous pacing or transvenous pacing until they are not longer symptomatic"
"69","Atypical pneumonia: lung infection","antibiotics, nonsteroidal anti-inflammatory drugs (NSAIDs), drinking non-caffeinated fluids, such as water and herbal tea"
"70","Autoimmune conditions","nonsteroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen (Motrin, Advil) and naproxen (Naprosyn), immune-suppressing drugs"
"71","Autoimmune disease","nonsteroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen (Motrin, Advil) and naproxen (Naprosyn), immune-suppressing drugs"
"72","Avulsions: forcible tissue detachment","surgical reattachment"
"73","Back trauma: injury","Rest, Physical exercises, pain reliever such as acetaminophen, aspirin, ibuprofen, or naproxen."
"74","Bacterial dysentery: bacterial infection of the intestines","rehydration, antibiotics"
"75","Bacterial infection","Anitbiotics"
"76","Bacterial overgrowth of small intestine: Bacterial Overgrowth Syndrome","Surgery, Antibiotic therapy"
"77","Bacterial vaginosis: vaginal infection","Antibiotics"
"78","Baker's cyst: fluid sac behind knee","Nonsteroidal anti-inflammatory drug, Analgesic and Steroid, Apply Ice, Fluid drainage"
"79","Balanitis: penis swelling","Antibiotics, Antifungal and Steroid"
"80","Barrett's esophagus: esophagus inflammation","Proton-pump inhibitor, Photodynamic therapy, Ablation, Therapeutic endoscopy, Catheter ablation, Electrocoagulation"
"81","Bartholin abscess or cyst: sac of pus near the vaginal opening","sitz bath, Fluid drainage"
"82","Basilar artery migraine: headache","Ibuprofen, Small molecule CGRP antagonists such as rimegepant(Nurtec),Antinausea medications such as metoclopramide (Reglan) "
"83","Basilar skull fracture: broken skull","Acetaminophen for a short course, Surgery is cerebrofluid leakage is found"
"84","Beta blocker overdose: blood pressure medication overdose","Treatment with calcium salts may provide benefits for hypotensive patients who overdosed on beta-blockers alone or in combination with a calcium channel blocker."
"85","Behcet's disease: small blood vessel inflammation disorder","Steroids, mouthwash and eyedrops can provide relief"
"86","Bee sting: wasp sting","Treatment involves removing the stinger followed by washing the area with soap and water then applying cold compresses or ice, Creams to the affected area to reduce discomfort, Severe reactions may need adrenaline."
"87","Bell's palsy: facial muscle weakness","Physiotherapy, Steroid and Antiviral drug"
"88","Benign positional vertigo: sensation of spinning","Treatment includes a series of head movements that shift particles in the ears, Epley maneuver"
"89","Benign prostatic hyperplasia: prostate enlargement","Treatments include medication that relaxes or shrinks the prostate, Minimal invasive surgery, Urinary retention medication"
"90","Benzodiazepine: Valium abuse","Medical detox, Therapy known as Cognitive Behavioral Therapy"
"91","Benzodiazepine: Valium overdose","Medical detox, Therapy known as Cognitive Behavioral Therapy"
"93","Bipolar disorder: manic depressive disorder","
Therapies such as Support group, Cognitive behavioral therapy, Psychoeducation, Family therapy and Psychotherapy, Medications such as Anticonvulsant, Antipsychotic and SSRIs"
"94","Black widow spider bite","Wash the area with soap and water, then apply a cold washcloth or ice pack wrapped in cloth to the area, Then take an over-the-counter pain reliever, like Tylenol. If the bite is on your arm or leg, elevate it to prevent swelling. Apply an antibiotic cream or lotion to the bite. Antivenin, a drug made from substances in the blood of horses since it neutralizes the black widow’s venom."
"95","Bladder cancer","Radiation therapy and Urinary diversion, Chemotherapy"
"96","Bladder stone, urinary","Transurethral cystolitholapaxy, Percutaneous suprapubic cystolitholapaxy, Open cystostomy"
"97","Bleeding tendency: bleeding disorder","Treatment for bleeding diathesis depends on the cause and the severity of the disorder. Synthetic production of blood."
"98","Blepharitis: eyelid swelling","Avoid eye makeup, Hygiene, Gentle eyelid scrub, Artificial tears and Warm compress, Massage, Antibiotics"
"99","Blood loss","Applying firm pressure with a sterile bandage for at least 5 minutes and elevating the area, Blood transfusion"
"101","Body dysmorphic disorder: body appearance obsession","Behaviour therapy, Psychotherapy and Cognitive behavioral therapy, SSRIs"
"102","Bone metastases: cancer spread to bone","Treatment of the primary cancer via chemotherapy, hormone therapy, radiation therapy, immunotherapy, or treatment with monoclonal antibodies"
"103","Botulism: bacterial toxin causing muscle weakness","Mechanical ventilation and IV fluids, Nasogastric intubation" 
"105","Bradycardia: slow heart rate","Beta blockers, Problem cause specific treatment, Pacemaker"
"106","Brain abscess: collection of pus in the brain","Antibiotics, Craniotomy, A short course of high-dosage corticosteroids such as meningitis."
"107","Brain tumor: cancer of the brain","Chemotherapy, Craniotomy, Tomotherapy and Radiation therapy"
"108","Breast abscess: collection of pus in the breast","Avoid tight clothing, Hygiene, Breastfeeding and Warm compress, Nonsteroidal anti-inflammatory drug, Analgesic, Penicillin and Antibiotics, Incision and drainage"
"109","Breast cancer: tumor","Mammaplasty, Tissue expansion, Lymph node dissection, Lumpectomy and Mastectomy, Teletherapy and Radiation therapy, Estrogen modulator, Chemotherapy, Hormone based chemotherapy and Bone health"
"110","Breast fat necrosis: dead breast fat","Ibuprofen (Advil, Motrin) or apply a warm compress to the area, Surgery(rare)"
"111","Breast fibroadenoma: benign breast lumps","Biopsy to evaluate lumps, Surgery to remove it."
"112","Bronchial asthma","Bronchodilator, Steroid and Anti-inflammatory, Quitting smoking, Oxygen therapy"
"113","Bronchiectasis: bronchial tube inflammatory damage","Physical Therapy, Pulmonary rehabilitation and Airway clearance technique, Oxygen therapy, Bronchodilator, Steroid, Penicillin and Antibiotics"
"114","Bronchiolitis: bronchial tube inflammation","Nasal suctioning, Oxygen therapy, Can be self-healing, IV fluids and Sodium chloride, Analgesic, Nonsteroidal anti-inflammatory drug and Bronchodilator"
"115","Bronchitis: bronchial tube infection","Can be self-healing, Nonsteroidal anti-inflammatory drug, Analgesic, Narcotic and Cough medicine, Throat lozenge and Quitting smoking"
"116","Brown recluse spider bite","Rest-Ice-Compression-Elevation (RICE), Antibiotics, Special wound dressings and skin grafts."
"117","Bulimia nervosa: binge eating, vomiting","Therapies, SSRIs(Selective serotonin reuptake inhibitor), Physical Exercise."
"118","Burkitt lymphoma: lymph node tumor","Intensive intravenous chemotherapy, Intrathecal chemotherapy, Drugs like: cyclophosphamide, cytarabine, doxorubicin (Adriamycin)"
"119","Burning mouth syndrome","Sucking on Ice chips, Sipping cold liquids, Avoiding acidic foods."
"120","Burns","Immersion in cool water, Eye flushing, Aloe and Alginic acid, Topical antiseptic and Antibiotics, Fluid replacement, Hyperbaric medicine and Hydrotherapy"
"121","Bursitis: inflammation of joint cushion","Nonsteroidal anti-inflammatory drug, RICE (Rest, Ice, Compression, Elevation), Cold compress and Physical exercise"
"122","Caffeine use","Activated Charcoal, Laxative, Gastric Lavage"
"123","Calcium channel blocker overdose: blood pressure medication overdose","GI decontamination, Resuscitation with calcium and glucagon infusion, Judicious use of inotropes."
"124","Calluses and corns","Soaking the area in warm water for 5-10mins, Using pumice stone or emery board to remove dead tissue, Moisturizing cream or lotion."
"125","Campylobacter infection: intestinal bacterial infection","Anitbiotics, Drinking Fluids."
"126","Cancer: tumor","Suurgery, Chemotherapy, Radiation therapy, or a combination of the three."
"127","Candida albicans: yeast infection","A short course of an over-the-counter (OTC) or prescription antifungal cream, pill, or suppository. Single dose of an oral antifungal medication(fluconazole)."
"128","Carbon monoxide poisoning: odorless, poisonous gas","Hyperbaric oxygen therapy (HBOT)"
"129","Cardiac arrhythmia: abnormal heart rate","Antiarrhythmic, Calcium channel blocker, Beta blocker and Dietary supplement, Cardioversion and Radiofrequency ablation, Pacemaker and Implantable cardioverter defibrillator"
"130","Cardiomyopathy: weakened heart","Anticoagulant, Beta blocker, ACE inhibitor, Diuretic, Antihypertensive drug, Statin and Antiarrhythmic, Cardiac catheterization and Revascularization, Coronary artery bypass surgery and Heart transplant, Pacemaker and Implantable cardioverter defibrillator"
"131","Carotid artery dissection: neck artery tear","Antiplatelet agents(Aspirin or Clopidogrel) , Angioplasty"
"132","Carotid cavernous fistula(CCF): abnormal blood vessel communication","Indirect CCF will close without any treatment, Severe may require Surgery(endovascular embolization)"
"133","Carpal tunnel syndrome: wrist nerve compression","Splint, Steroid and Nonsteroidal anti-inflammatory drug, Carpal tunnel surgery, Ice packs and Rest, Stretching"
"134","Spinal cord compression: cauda equina syndrome","Emergency surgery to repair broken spine, Radiation therapy, Draining of an abscess or hematoma."
"135","Cavernous sinus aneurysm: head vein dilation","Surgery(Electrosurgery, Sclerotherapy)."
"136","Cavernous sinus thrombosis: head vein blood clot","Anticoagulants or Blood Thinners, Surgery(Thrombectomy)."
"137","Cavernous sinus tumor: head vein cancer","Tumor resection."
"138","Cavity: tooth caries","Dental filling, Oral hygiene and Fluoride"
"139","Celiac disease: celiac sprue","Gluten-free diet, Dietary supplement and Vitamin, Support group"
"140","Cellulitis: skin infection","Antibiotics and Penicillin"
"142","Cerebellar hemorrhage: bleeding in back of brain","Supportive care(Oxygen suppliment, Stabilization and resuscitation), Surgery."
"143","Cerebellar syndrome: loss of coordination","Surgery(if bleeding in cerebellum), anitbiotics(if have infection), Blood Thinners(if a stroke occured)."
"144","Cerebral contusion: bruise of brain","Surgery(if bruise is major), Supportive care and monitoring(if bruise is minor)"
"145","Cerebral palsy: movement disorder","Physical exercise and Special education, Occupational Therapy, Stretching and Physical Therapy, Muscle relaxant and Sedative, Gastrostomy"
"146","Cerebral vascular accident: stroke","Alteplase, Anticoagulant, Statin, Antihypertensive drug and ACE inhibitor, Cardiac monitoring, Carotid endarterectomy, Speech therapy, Rehabilitation, Occupational Therapy, Physical Therapy and Stroke rehabilitation"
"147","Cerebrospinal fluid rhinorrhea: leakage of brain fluid from the nose","Medication to stop the production of fluid, Surgery."
"148","Cerumen impaction: ear wax buildup","Scoop out wax via 'curerrte', Irrigate ear via warm water or sodium bicarboante, Using wax softening drop or baby oil to soften earwax and pull it out."
"149","Cervical cancer: tumor","Depending upon stage: Teletherapy, Brachytherapy, Loop electrosurgical excision procedure, Radiation therapy and Cervical conization, Chemotherapy, Hysterectomy, Cervicectomy, Cryosurgery, Lymph node dissection and Retroperitoneal lymph node dissection"
"150","Cervical lymphadenopathy: enlarged neck lymph nodes","Antibiotics, Antivirals, Adequate rest, Chemotherapy, Irradiation therapy, Suurgery to remove lymph nodes."
"151","Cervical radiculopathy: pinched nerve in neck","Corticosteroids (powerful anti-inflammatory drugs), Nonsteroidal pain medication like ibuprofen or naproxen, Physical therapy(gentle cervical traction and mobilization), Surgery."
"152","Cervical spine fracture: broken neck bone","Neck Brace or Collar, Traction, Surgery."
"153","Cervical spondylosis: neck arthritis","Warm compress, Ice packs and Physical exercise, Physical Therapy, Analgesic, Nonsteroidal anti-inflammatory drug, Muscle relaxant, Steroid, Narcotic and Local anesthetic, Spinal surgery, Laminectomy, Laminotomy, Microsurgery"
"154","Cervicitis: inflammation of the lower uterus","Depending on cause: Antibiotics, Antifungal medications, Antiviral medications, Patient should not have sex until they and their partner have finished treatment."
"155","Chagas disease: trypanosomiasis","Antiparasitic"
"158","Chest trauma: injury","Surgery(After the First AID has been provided)."
"159","Child abuse","Ensuring the safety and protection for victim, Medical care(if needed), Psychotherapy."
"160","Chlamydia trachomatis infection: STD","Antibiotic, Also check for other commonly sexually transmitted infections."
"161","Chlorine bleach ingestion","Immediately wash the affected skin area with soap and water, or If eyes are infected, flush them with running water for at least 15 minutes — take out contact lenses first if present, and Remove any clothes that were on the areas of the body exposed to chlorine, or If chlorine has been orally ingested, drink milk or water immediately, unless you experience vomiting or convulsions, or If chlorine is inhaled, seek fresh air as soon as possible (going to the highest possible ground). Medications include: Activated charcoal, supportive medications, intravenous fluid, supplemental oxygen."
"162","Cholangitis: inflammation of the bile ducts","For acute cases: Antibiotics for up to 10 days e.g. (penicillin, ceftriaxone), Procedures e.g. (Intravenous fluids, bile duct drainage), For chronic cases: A drug called ursodeoxycholic acid may help protect the liver(Not treat Cholangitis). For Both cases: Endoscopic therapy, Percutaneous therapy, Surgery, Liver transplant."
"163","Cholecystitis: inflammation of the gallbladder","Fasting from food and drink, IV fluids, Antibiotics and Penicillin, Cholecystectomy"
"164","Choledocholithiasis: stone in bile duct","Stone extraction, fragmenting stones (lithotripsy), Cholecystectomy, Sphincterotomy, Biliary stenting, Biliary endoscopic sphincterotomy (BES)"
"165","Cholelithiasis: gallstones","Low fat diet, Cholesterol medication, Cholecystectomy and Laparoscopic surgery"
"166","Cholera: intestinal bacterial infection","Treatment includes rehydration, IV fluids and antibiotics, IV fluids and Oral rehydration therapy, Antibiotics"
"167","Cholesteatoma: middle ear mass","Antibiotics, eardrops to treat infected cyst followed by Surgery."
"168","Chronic fatigue syndrome: CFS","Stress management and Relaxation techniques, Support group, Antidepressant"
"169","Chronic liver disease","Corticosteroids, interferon, antivirals, bile acids based on the casue. Nutritional therapy, Surgery, Transplant."
"170","Chronic obstructive pulmonary disease: COPD, emphysema","Bronchodilator and Steroid, Oxygen therapy, Physical exercise, Quitting smoking and Diaphragmatic breathing, Pulmonary rehabilitation"
"171","Chronic pain","Physical exercise, Stress management and Relaxation techniques, Nerve pain medication, Analgesic and Narcotic, Nerve block(medical procedure)."
"172","Cirrhosis: liver failure and scarring","Low sodium diet and Avoid alcohol, Diuretic, Ammonia reducer, Beta blocker, Antibiotics and Antiviral drug, Rubber band ligation, Therapeutic endoscopy and Transjugular intrahepatic portosystemic shunt, Liver transplantation"
"173","Cluster headache: one-sided headache behind the eye","Oxygen therapy, Triptan, Calcium channel blocker, Steroid and Nerve pain medication"
"174","Coarctation of aorta: narrowing of the aorta","Stenting, Cardiac catheterization and Angioplasty, Surgical coarctation repair"
"175","Cocaine abuse","Benzodiazepines(to lower blood pressure and heart rate) folowed by Therapy."
"176","Cocaine overdose","Benzodiazepines(to lower blood pressure and heart rate) folowed by Therapy."
"177","Colic: prolonged infant crying episodes","Try the following one at a time. If one doesn’t work after a few days, try another: Pacifier, Swaddle the infant, Hold them with their bare skin against your own, Put them in a swing or vibrating seat, Use white noise (like a fan, washing machine, or dishwasher) or a recording of a heartbeat."
"178","Colitis: large intestine inflammation","Stabilize the patient's vital signs and help control pain if needed, Rehydration(orally or by intravenous fliuds)."
"179","Colonic diverticulitis: inflammation of pouches in the large intestine","Antibiotics, Penicillin and Dietary supplement, IV fluids, Clear liquid diet and Rest."
"180","Colon cancer: large intestine tumor","Lymph node dissection and Colectomy, Chemotherapy and Chemotherapy protective drugs"
"181","Common cold: upper respiratory infection","Nasal washing, Throat lozenge and Menthol, Nonsteroidal anti-inflammatory drug, Analgesic, Antihistamine, Cough medicine and Decongestant"
"182","Common spider bite: spider bite","Ice packs and Monitoring for changes or improvement, Ice packs, Analgesic, Nonsteroidal anti-inflammatory drug and Antihistamine"
"183","Compartment syndrome: increased pressure inside muscles","Fasciotomy"
"184","Concussion","Rest, Close monitoring, Analgesic, Rehabilitation"
"185","Congestive heart failure: CHF","Physical exercise, Quitting smoking, Weight loss and Low sodium diet, Diuretic, Beta blocker, ACE inhibitor, Antihypertensive drug, Dietary supplement, Blood pressure support, Vasodilator and Antianginal, Cardiac resynchronization therapy, Implantable cardioverter defibrillator, Coronary artery bypass surgery"
"186","Conjunctivitis: pink eye","Cold compress and Artificial tears, Can be self-healing, Antibiotics and Steroid"
"187","Constipation","Drinking more fluids, high-fibre foods, regular exercise. Stool softeners and laxatives."
"188","Contact dermatitis: contact skin irritation","Cold compress, Sunblock, Moisturizer and Barrier cream, Steroid, Antibiotics, Topical antiseptic, Antihistamine, Local anesthetic and Antifungal, Desensitization"
"189","Poison ivy: poison oak, poison sumac","Wash your skin and clothes, Antihistamine, Drying lotion, Warm baths to soothe skin."
"190","Contact urticaria: hives","Avoid scratching the irritated skin, Clean your skin with mild soap and lukewarm water, Apply bland petroleum jelly like Vaseline, Antihistamine drug such as diphenhydramine."
"191","Contusion: bruise, ecchymosis","Rest-Ice-Compression-Elevation (RICE), Using Elastic bandage, Paracetamol or ibuprofen."
"192","Corneal abrasion: scrape on eye","Clean and Protect the Eye, Antibiotic ointment or pain relievers like acetaminophen (Tylenol) or ibuprofen (Advil, Motrin)"
"193","Corneal foreign body: object in the eye","Clean and Protect the Eye"
"194","Coronary artery dissection: heart artery tear","Surgery"
"195","Costochondritis: chest wall inflammation","Analgesic, Nonsteroidal anti-inflammatory drug and Steroid, Stretching and Physical Therapy, Physical exercise"
"196","Cough medicine abuse","Intoxication, Therapy."
"197","Crohn's disease: regional enteritis, Crohn's colitis, intestinal inflammation","Nonsteroidal anti-inflammatory drug, Anti-inflammatory, Steroid, Vitamin and Antibiotics, Bowel resection, Dietary fiber, Enema."
"198","Cryptosporidium infection: diarrheal parasite infection: Infection by Cryptosporidium: Cryptosporidiosis infection: Infection by Cryptosporidium parvum","Anti-parasitic drugs, Anti-motility agents, Fluid replacement, Antiretroviral therapies."
"199","Cushing disease: excessive pituitary gland hormones","Reducing corticosteroid use, Surgery, Radiation therapy, Ketoconazole, mitotane (Lysodren) and metyrapone (Metopirone)"
"200","Cutaneous larva migrans: parasitic skin disease","Freezing the edge of skin, Thiabendazole, Albendazole."
"201","Cystocele: bladder hernia","Monitoring for changes or improvement, Kegel exercise and Physical Therapy, Pessary, Physical exercise, Colporrhaphy"
"202","Cytomegalovirus infection: CMV viral infection","Antivirals(Ganciclovir, Valganciclovir, Foscarnet)."
"203","De Quervain's tenosynovitis: hand tendon inflammation","RICE (Rest, Ice, Compression, Elevation), Splint, Nonsteroidal anti-inflammatory drug and Steroid, Occupational Therapy, Stretching, Physical Therapy and Massage"
"204","Deep venous thrombosis: DVT, venous blood clot","Compression stockings, Anticoagulant"
"205","Dehydration","Drinking water, oral rehydration solution (ORS) or sports drinks"
"206","Delirium tremens: severe alcohol withdrawal","Sedative and Vitamin, IV fluids, Alcohol detoxification"
"207","Dementia: decline in mental ability","Rehabilitation and Occupational Therapy, Cognition-enhancing medication"
"208","Dengue fever: tropical mosquito borne illness","Fluid replacement, Can be self-healing, Oral rehydration therapy and IV fluids, Analgesic"
"209","Dental abscess: tooth infection","Root canal, Incision and drainage, Dental filling and Tooth extraction, Antibiotics, Penicillin, Nonsteroidal anti-inflammatory drug and Analgesic, Ice packs"
"210","Dental eruption: appearance of new tooth","rest, ice packs."
"211","Dentures","Keep mouth clean. Regular drinking water."
"212","Depression: excessive sadness","antidepressants, antianxiety, antipsychotic medications, psychotherapy."
"213","Diabetes: high blood sugar","Artifical insulin(Type 1 diabetes), A diet change(Type 2 diabetes), Metformin(Type 2 diabetes)."
"214","Diabetes mellitus type 2: elevated blood sugar","A diet change, Metformin."
"215","Diabetic ketoacidosis: DKA, a complication of poorly controlled diabetes","Cardiac monitoring and Fluid replacement, Insulin and Dietary supplement"
"216","Diffuse esophageal spasm: painful contractions of the esophagus","peppermint oil or lozenges, Botulinum injections into the esophagus, surgery."
"217","Benadryl: diphenhydramine overdose","Fluids through a vein (by IV), Medicines to treat symptoms or reverse the effects of the overdose, Activated charcoal, laxative, Breathing suppor"
"218","Diphtheria infection: bacterial respiratory infection","Antibiotics and Penicillin"
"219","Discitis: spinal disk inflammation","Antibiotics, steroids, nonsteroidal anti-inflammatory drugs, such as ibuprofen, bed rest, wearing a back brace."
"220","Dislocation: joint out of place","Procedural sedation and analgesia, Reduction and Traction, Splint and Orthopedic cast, Joint manipulation, Rest"
"221","Dissecting aortic aneurysm: tearing and dilation of the aorta"
"222","Disseminated intravascular coagulation: DIC, abnormality of blood clotting"
"223","Unisom overdose: doxylamine overdose"
"224","Dressler syndrome: heart sac inflammation following heart attack or heart surgery"
"225","Drug overuse: Prescription Drug Overuse"
"226","Drug overdose"
